Sample	Total Bases	Sequences flagged as poor quality	overrepresented_sequences	sequence_duplication_levels	per_sequence_quality_scores	Total Sequences	File type	Filename	sequence_length_distribution	per_base_sequence_quality	total_deduplicated_percentage	median_sequence_length	per_sequence_gc_content	adapter_content	Encoding	avg_sequence_length	per_base_n_content	Sequence length	basic_statistics	%GC	per_base_sequence_content
fastqc | SRR8668755	6.6 Gbp	0.0	warn	fail	pass	89921353.0	Conventional base calls	SRR8668755.fastq.gz	warn	pass	34.106002817547854	75	fail	pass	Sanger / Illumina 1.9	74.47977032774406	pass	35-75	pass	50.0	fail
fastqc | SRR8668755_1M_subsample	74.4 Mbp	0.0	warn	warn	pass	1000000.0	Conventional base calls	SRR8668755_1M_subsample.fastq.gz	warn	pass	65.01812605728297	75	fail	pass	Sanger / Illumina 1.9	74.479287	pass	35-75	pass	50.0	fail
fastqc | SRR8668756	6.2 Gbp	0.0	warn	fail	pass	84483855.0	Conventional base calls	SRR8668756.fastq.gz	warn	pass	40.94361703801776	75	warn	pass	Sanger / Illumina 1.9	74.27136176491946	pass	35-75	pass	48.0	fail
fastqc | SRR8668757	7 Gbp	0.0	warn	fail	pass	95110159.0	Conventional base calls	SRR8668757.fastq.gz	warn	pass	43.72828710379808	75	warn	pass	Sanger / Illumina 1.9	74.47828267220119	pass	35-75	pass	47.0	fail
fastqc | SRR8668758	2.1 Gbp	0.0	warn	warn	pass	30161579.0	Conventional base calls	SRR8668758.fastq.gz	warn	pass	51.26279173941845	75	warn	pass	Sanger / Illumina 1.9	72.73567113313266	pass	35-75	pass	49.0	fail
fastqc | SRR8668759	386.9 Mbp	0.0	fail	fail	pass	5323802.0	Conventional base calls	SRR8668759.fastq.gz	warn	pass	49.17205703433164	75	fail	warn	Sanger / Illumina 1.9	72.67510869111962	pass	35-75	pass	57.0	fail
fastqc | SRR8668769	7 Gbp	0.0	warn	fail	pass	94251532.0	Conventional base calls	SRR8668769.fastq.gz	warn	pass	28.282918773072836	75	fail	pass	Sanger / Illumina 1.9	74.49919337120164	pass	35-75	pass	53.0	fail
fastqc | SRR8668771	4.8 Gbp	0.0	warn	fail	pass	64436537.0	Conventional base calls	SRR8668771.fastq.gz	warn	pass	36.18980969009314	75	fail	pass	Sanger / Illumina 1.9	74.51151436024564	pass	35-75	pass	52.0	fail
fastqc | SRR8668772	5 Gbp	0.0	warn	fail	pass	68179906.0	Conventional base calls	SRR8668772.fastq.gz	warn	pass	37.62565912735664	75	fail	pass	Sanger / Illumina 1.9	74.46793996753237	pass	35-75	pass	50.0	fail
fastqc | SRR8668773	5.2 Gbp	0.0	warn	fail	pass	69980123.0	Conventional base calls	SRR8668773.fastq.gz	warn	pass	37.76881225135168	75	fail	pass	Sanger / Illumina 1.9	74.46369312611812	pass	35-75	pass	50.0	fail
fastqc | SRR8668774	9.8 Gbp	0.0	warn	fail	pass	133387934.0	Conventional base calls	SRR8668774.fastq.gz	warn	pass	40.55445908767855	75	fail	pass	Sanger / Illumina 1.9	73.84977352599223	pass	35-75	pass	49.0	fail
