Sample	FastQC_mqc-generalstats-fastqc-avg_sequence_length	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	Kallisto_mqc-generalstats-kallisto-percent_aligned
fastqc | SRR8668755	74.47977032774406		89921353.0	75	50.0	30.0	65.89399718245215	
fastqc | SRR8668755_1M_subsample	74.479287		1000000.0	75	50.0	20.0	34.98187394271703	
fastqc | SRR8668756	74.27136176491946		84483855.0	75	48.0	20.0	59.05638296198224	
fastqc | SRR8668757	74.47828267220119		95110159.0	75	47.0	20.0	56.27171289620192	
fastqc | SRR8668758	72.73567113313266		30161579.0	75	49.0	10.0	48.73720826058155	
fastqc | SRR8668759	72.67510869111962		5323802.0	75	57.0	40.0	50.82794296566836	
fastqc | SRR8668769	74.49919337120164		94251532.0	75	53.0	30.0	71.71708122692716	
fastqc | SRR8668771	74.51151436024564		64436537.0	75	52.0	30.0	63.81019030990686	
fastqc | SRR8668772	74.46793996753237		68179906.0	75	50.0	30.0	62.37434087264336	
fastqc | SRR8668773	74.46369312611812		69980123.0	75	50.0	30.0	62.23118774864832	
fastqc | SRR8668774	73.84977352599223		133387934.0	75	49.0	30.0	59.44554091232145	
kallisto | SRR8668755		47416718.0						52.73132178071208
kallisto | SRR8668756		58270531.0						68.97238649917195
kallisto | SRR8668757		46344062.0						48.72672119074052
kallisto | SRR8668758		18762070.0						62.20519820928473
kallisto | SRR8668759		2560609.0						48.09737477088743
kallisto | SRR8668769		63720818.0						67.60719602945021
kallisto | SRR8668771		33603869.0						52.1503335910184
kallisto | SRR8668772		37041302.0						54.32876660170227
kallisto | SRR8668773		45774918.0						65.41131400983676
kallisto | SRR8668774		78640298.0						58.95608069017697
