Sample	pseudoaligned_reads	total_reads	percent_aligned	not_pseudoaligned_reads
kallisto | SRR8668755	47416718.0	89921353.0	52.73132178071208	42504635.0
kallisto | SRR8668756	58270531.0	84483855.0	68.97238649917195	26213324.0
kallisto | SRR8668757	46344062.0	95110159.0	48.72672119074052	48766097.0
kallisto | SRR8668758	18762070.0	30161579.0	62.20519820928473	11399509.0
kallisto | SRR8668759	2560609.0	5323802.0	48.09737477088743	2763193.0
kallisto | SRR8668769	63720818.0	94251532.0	67.60719602945021	30530714.0
kallisto | SRR8668771	33603869.0	64436537.0	52.1503335910184	30832668.0
kallisto | SRR8668772	37041302.0	68179906.0	54.32876660170227	31138604.0
kallisto | SRR8668773	45774918.0	69980123.0	65.41131400983676	24205205.0
kallisto | SRR8668774	78640298.0	133387934.0	58.95608069017697	54747636.0
